id,country_id:id,state_id:id,name,code
municipality_nl_dr_1680,base.nl,base.state_nl_dr,Aa en Hunze,1680
municipality_nl_dr_0106,base.nl,base.state_nl_dr,Assen,0106
municipality_nl_dr_1681,base.nl,base.state_nl_dr,Borger-Odoorn,1681
municipality_nl_dr_0109,base.nl,base.state_nl_dr,Coevorden,0109
municipality_nl_dr_0114,base.nl,base.state_nl_dr,Emmen,0114
municipality_nl_dr_0118,base.nl,base.state_nl_dr,Hoogeveen,0118
municipality_nl_dr_0119,base.nl,base.state_nl_dr,Meppel,0119
municipality_nl_dr_1731,base.nl,base.state_nl_dr,Midden-Drenthe,1731
municipality_nl_dr_1699,base.nl,base.state_nl_dr,Noordenveld,1699
municipality_nl_dr_1730,base.nl,base.state_nl_dr,Tynaarlo,1730
municipality_nl_dr_1701,base.nl,base.state_nl_dr,Westerveld,1701
municipality_nl_dr_1690,base.nl,base.state_nl_dr,De Wolden,1690
municipality_nl_fl_0034,base.nl,base.state_nl_fl,Almere,0034
municipality_nl_fl_0303,base.nl,base.state_nl_fl,Dronten,0303
municipality_nl_fl_0995,base.nl,base.state_nl_fl,Lelystad,0995
municipality_nl_fl_0171,base.nl,base.state_nl_fl,Noordoostpolder,0171
municipality_nl_fl_0184,base.nl,base.state_nl_fl,Urk,0184
municipality_nl_fl_0050,base.nl,base.state_nl_fl,Zeewolde,0050
municipality_nl_fr_0059,base.nl,base.state_nl_fr,Achtkarspelen,0059
municipality_nl_fr_0060,base.nl,base.state_nl_fr,Ameland,0060
municipality_nl_fr_1891,base.nl,base.state_nl_fr,Dantumadiel,1891
municipality_nl_fr_1940,base.nl,base.state_nl_fr,De Fryske Marren,1940
municipality_nl_fr_0072,base.nl,base.state_nl_fr,Harlingen,0072
municipality_nl_fr_0074,base.nl,base.state_nl_fr,Heerenveen,0074
municipality_nl_fr_0080,base.nl,base.state_nl_fr,Leeuwarden,0080
municipality_nl_fr_1970,base.nl,base.state_nl_fr,Noardeast-Fryslân,1970
municipality_nl_fr_0085,base.nl,base.state_nl_fr,Ooststellingwerf,0085
municipality_nl_fr_0086,base.nl,base.state_nl_fr,Opsterland,0086
municipality_nl_fr_0088,base.nl,base.state_nl_fr,Schiermonnikoog,0088
municipality_nl_fr_0090,base.nl,base.state_nl_fr,Smallingerland,0090
municipality_nl_fr_1900,base.nl,base.state_nl_fr,Súdwest-Fryslân,1900
municipality_nl_fr_0093,base.nl,base.state_nl_fr,Terschelling,0093
municipality_nl_fr_0737,base.nl,base.state_nl_fr,Tytsjerksteradiel,0737
municipality_nl_fr_0096,base.nl,base.state_nl_fr,Vlieland,0096
municipality_nl_fr_1949,base.nl,base.state_nl_fr,Waadhoeke,1949
municipality_nl_fr_0098,base.nl,base.state_nl_fr,Weststellingwerf,0098
municipality_nl_ge_0197,base.nl,base.state_nl_ge,Aalten,0197
municipality_nl_ge_0200,base.nl,base.state_nl_ge,Apeldoorn,0200
municipality_nl_ge_0202,base.nl,base.state_nl_ge,Arnhem,0202
municipality_nl_ge_0203,base.nl,base.state_nl_ge,Barneveld,0203
municipality_nl_ge_1945,base.nl,base.state_nl_ge,Berg en Dal,1945
municipality_nl_ge_1859,base.nl,base.state_nl_ge,Berkelland,1859
municipality_nl_ge_0209,base.nl,base.state_nl_ge,Beuningen,0209
